Bruin korstwier,1
Bruine snavelbies,3
Bruinrode wespenorchis,5
Bultkroos,3
Buntgras,4
Californische cipres,3
Caltha,2
Camelina,1
Canadapopulier,5
Canadees hertshooi,2
Canadese fijnstraal,3
Canadese guldenroede,4
Canadese kornoelje,5
Canadese rus,1
Carex,5
Catenella,1
Caucalis,3
Centauriebremraap,5
Ceramium,1
Cerastium,2
Chevaliergerst,6
Chinese bruidssluier,3
Chinese naaldaar,2
Christoffelkruid,5
Cipreswolfsmelk,4
Citroengele honingklaver,3
Citroenmelisse,1
Cladophora,1
Clethra,2
Cochlearia,3
Corsikaanse den,1
Cosmos,2
Cranberry,4
Cystoclonium,1
Dactylorhiza,4
Dagkoekoeksbloem,4
Dalkruid,4
Dalmatiëklokje,2
Damastbloem,3
Daslook,4
Dasya,1
Dauwbraam,4
Dauwnetel,3
Deens lepelblad,4
Dennenorchis,5
Dennenwolfsklauw,4
Dessertbladen,2
Deutzia,2
Dicht havikskruid,4
Dicht langbaardgras,4
Dichtbloemig kweldergras,5
Dichtbloemige kruidkers,3
Dichte bermzegge,5
Dik vetkruid,4
Dikkemanskruid,4
Dille,4
Distelbremraap,6
Dodemansvingers,5
Doffe ereprijs,2
Dolik,4
Dolle kervel,5
Donderblad,3
Donderkruid,4
Donker buiswier,2
Donkere ooievaarsbek,6
Donkergroene basterdwederik,3
Donkersporig bosviooltje,5
Donzige eik,1
Donzige klaproos,2
Donzige klit,4
Donzige moerasbloem,1
Doorgroeid fonteinkruid,4
Doorgroeide boerenkers,3
Doorgroeide kruidkers,3
Doornappel,5
Doorschijnend sterrenkroos,4
Doorwas,4
Doorwaskervel,2
Doperwt,3
Douglasspar,3
Douglasspirea,3
Draadereprijs,4
Draadfonteinkruid,2
Draadgentiaan,4
Draadgierst,3
Draadklaver,5
Draadrus,3
Draadzegge,5
Draadzwenkgras,4
Dragon,2
Dreps,5
Drie-urenbloem,3
Driebladvetkruid,1
Driebloemige nachtschade,3
Driedelige ambrosia,2
Driedelige waterranonkel,3
Driedistel,5
Driehoornig walstro,3
Driekantig look,2
Driekantige bies,3
Driekleurig viooltje,4
Drienerfmuur,3
Drienervige zegge,5
Drietallig glaskroos,2
Drijvend fonteinkruid,5
Drijvende egelskop,2
Drijvende waterranonkel,3
Drijvende waterweegbree,5
Droogbloeier,3
Druifkruid,4
Dubbelkelk,3
Dubbelloof,3
Duifkruid,4
Duinaveruit,3
Duindoorn,6
Duinkruiskruid,5
Duinlangbaardgras,4
Duinriet,6
Duinroos,7
Duinteunisbloem,3
Duinviooltje,2
Duinvogelmuur,3
Duinwespenorchis,1
Duinzwenkgras,3
Duist,3
Duits viltkruid,5
Duitse brem,4
Duitse dot,3
Duitse gentiaan,3
"Duivenkervel, Middelste",2
Duizendknoopfonteinkruid,3
Duizendschoon,3
Dunstaart,6
Dunsteeltje,1
Dwergbloem,5
Dwerggras,4
Dwergkroos,2
Dwergrus,3
Dwergviltkruid,3
Dwergvlas,4
Dwergwier,1
Dwergzegge,3
Echt bitterkruid,3
Echt darmwier,1
Echt duizendguldenkruid,6
Echt lepelblad,3
Echt venushaar,3
Echte gamander,4
Echte guldenroede,3
Echte kamille,3
Echte kervel,5
Echte koekoeksbloem,4
Echte kruisdistel,7
